Games Played,Date,Home,Opponent,Goals,Goals Against,Result,Shots on Goal,Penalties in Minutes,Power Play Goals,Power Play Opportunities,SHG,Opponent Shots on Goal,Opponent Penalties in Minutes,Opponent Power Play Goals,Opponent Power Play Opportunities,Oponent SHG,CF = Shots + Blocks + Misses,CA = Shots + Blocks + Misses Against,CF / (CF + CA),FF = Shots + Misses,FA = Shots + Misses Against,FF / (FF + FA),Faceoff Wins,Faceoff Losses,Faceoff Win Percentage,Offensive Zone Faceoffs / (Offensive Zone Faceoffs + Defensive Zone Faceoffs),Shooting % + Save %
76,2015-03-31,,New Jersey Devils,3,2,W,31,4,1,,0,26,8,1.0,,1.0,41,25,62.1,32,24,57.1,22,13,62.9,54.5,104.2
77,2015-04-02,,New York Islanders,4,3,W,39,4,0,,0,28,4,0.0,,0.0,55,41,57.3,40,32,55.6,25,27,48.1,60.0,96.3
78,2015-04-04,,Pittsburgh Penguins,5,3,W,35,6,0,,0,36,4,0.0,,0.0,46,39,54.1,37,34,52.1,31,24,56.4,40.6,106.5
79,2015-04-06,1.0,New York Rangers,3,4,L,32,6,0,,0,42,6,0.0,,0.0,54,53,50.5,42,39,51.9,23,30,43.4,46.6,98.6
80,2015-04-08,,Toronto Maple Leafs,5,0,W,33,6,1,,0,35,4,,,,42,42,50.0,36,34,51.4,24,22,52.2,38.2,113.8
81,2015-04-10,,Buffalo Sabres,4,2,W,40,6,0,,0,25,2,1.0,,0.0,59,34,63.4,48,29,62.3,33,22,60.0,34.4,106.2
82,2015-04-11,1.0,New York Islanders,5,4,W,37,17,1,,0,52,17,0.0,,0.0,61,79,43.6,47,60,43.9,27,30,47.4,56.7,100.4
1,2015-10-09,,New York Rangers,2,4,L,33,6,1,5.0,0,25,12,0.0,2.0,0.0,43,31,58.1,32,24,57.1,30,25,54.5,46.7,84.2
2,2015-10-10,1.0,New York Rangers,2,5,L,39,6,1,5.0,0,29,12,1.0,2.0,0.0,55,33,62.5,44,29,60.3,21,25,45.7,58.3,86.6
3,2015-10-12,1.0,Buffalo Sabres,2,4,L,24,19,2,3.0,0,33,11,3.0,7.0,0.0,30,38,44.1,24,29,45.3,18,17,51.4,31.6,95.2
